,code,company,old_price,new_price,returns
88,036580,팜스코,7320,7350,0.4098360655737654
186,115390,락앤락,14900,14900,0.0
1,065620,제낙스,15950,15950,0.0
282,056000,COWON,2860,2860,0.0
10,087730,이엠네트웍스,8160,8160,0.0
80,063440,SM Life Design,3035,3030,-0.16474464579900872
298,083930,아바코,12800,12750,-0.390625
229,068050,팬엔터테인먼트,6860,6820,-0.5830903790087438
243,081150,티플랙스,4375,4340,-0.8000000000000007
73,067730,로지시스,9000,8920,-0.8888888888888835
113,900280,골든센츄리,484,479,-1.0330578512396715
189,145720,덴티움,61100,60400,-1.1456628477905073
102,128540,에코캡,4710,4650,-1.273885350318471
11,053060,세동,2230,2195,-1.5695067264574036
43,078890,가온미디어,12600,12400,-1.5873015873015928
161,040300,YTN,4360,4290,-1.6055045871559592
185,052600,한네트,10550,10350,-1.8957345971563955
129,199150,데이터스트림즈,9990,9800,-1.9019019019019034
61,010060,OCI,125000,122500,-2.0000000000000018
95,024120,KB오토시스,9950,9740,-2.1105527638190957
31,032300,한국파마,46200,45100,-2.3809523809523836
119,014820,동원시스템즈,45500,44400,-2.41758241758242
66,047080,한빛소프트,6450,6290,-2.4806201550387597
152,047050,포스코인터내셔널,21550,20950,-2.784222737819031
208,193250,와이제이엠게임즈,2145,2080,-3.0303030303030276
220,004870,티웨이홀딩스,1575,1520,-3.4920634920634908
144,122640,예스티,14800,14250,-3.716216216216217
104,024910,경창산업,3020,2905,-3.8079470198675525
101,012340,뉴인텍,4035,3875,-3.9653035935563796
25,211270,AP위성,17000,16300,-4.117647058823525
292,000910,유니온,8880,8500,-4.2792792792792795
118,054450,텔레칩스,18650,17850,-4.289544235924936
26,900070,글로벌에스엠,1290,1225,-5.038759689922479
146,014160,대영포장,2700,2555,-5.37037037037037
47,042420,네오위즈홀딩스,32400,30650,-5.401234567901236
240,108490,로보티즈,16550,15600,-5.740181268882171
173,206560,덱스터,7650,7210,-5.751633986928106
171,306620,네온테크,4065,3815,-6.150061500615012
91,003670,포스코케미칼,151000,141500,-6.29139072847682
134,048530,인트론바이오,25050,23400,-6.586826347305386
197,272210,한화시스템,18550,17300,-6.738544474393526
194,308170,센트랄모텍,29900,27850,-6.8561872909698955
40,099320,쎄트렉아이,60000,55600,-7.333333333333336
148,126560,현대퓨처넷,4940,4575,-7.388663967611331
