init start
company_info exists 
daily_price exists 
Not first trial
codes's size is [2449]
[2021-06-03 10:00] #0064 REPLACE INTO company_info VALUES (001550, 조비, 2021-06-03)
[2021-06-03 10:00] #0065 REPLACE INTO company_info VALUES (002600, 조흥, 2021-06-03)
[2021-06-03 10:00] #0066 REPLACE INTO company_info VALUES (001630, 종근당홀딩스, 2021-06-03)
[2021-06-03 10:00] #0067 REPLACE INTO company_info VALUES (071320, 지역난방공사, 2021-06-03)
[2021-06-03 10:00] #0068 REPLACE INTO company_info VALUES (120110, 코오롱인더, 2021-06-03)
[2021-06-03 10:00] #0069 REPLACE INTO company_info VALUES (020120, 키다리스튜디오, 2021-06-03)
[2021-06-03 10:00] #0070 REPLACE INTO company_info VALUES (015890, 태경산업, 2021-06-03)
[2021-06-03 10:00] #0071 REPLACE INTO company_info VALUES (004100, 태양금속공업, 2021-06-03)
[2021-06-03 10:00] #0072 REPLACE INTO company_info VALUES (005490, 포스코, 2021-06-03)
[2021-06-03 10:00] #0073 REPLACE INTO company_info VALUES (058430, 포스코강판, 2021-06-03)
[2021-06-03 10:00] #0074 REPLACE INTO company_info VALUES (005430, 한국공항, 2021-06-03)
[2021-06-03 10:00] #0075 REPLACE INTO company_info VALUES (023350, 한국종합기술, 2021-06-03)
[2021-06-03 10:00] #0076 REPLACE INTO company_info VALUES (168490, 한국패러랠, 2021-06-03)
[2021-06-03 10:00] #0077 REPLACE INTO company_info VALUES (009180, 한솔로지스틱스, 2021-06-03)
[2021-06-03 10:00] #0078 REPLACE INTO company_info VALUES (002220, 한일철강, 2021-06-03)
[2021-06-03 10:00] #0079 REPLACE INTO company_info VALUES (009460, 한창제지, 2021-06-03)
[2021-06-03 10:00] #0080 REPLACE INTO company_info VALUES (088350, 한화생명, 2021-06-03)
[2021-06-03 10:00] #0081 REPLACE INTO company_info VALUES (000720, 현대건설, 2021-06-03)
[2021-06-03 10:00] #0082 REPLACE INTO company_info VALUES (267270, 현대건설기계, 2021-06-03)
[2021-06-03 10:00] #0083 REPLACE INTO company_info VALUES (004560, 현대비앤지스틸, 2021-06-03)
[2021-06-03 10:00] #0084 REPLACE INTO company_info VALUES (017800, 현대엘리베이터, 2021-06-03)
[2021-06-03 10:00] #0085 REPLACE INTO company_info VALUES (001500, 현대차증권, 2021-06-03)
[2021-06-03 10:00] #0086 REPLACE INTO company_info VALUES (111110, 호전실업, 2021-06-03)
[2021-06-03 10:00] #0087 REPLACE INTO company_info VALUES (245620, EDGC, 2021-06-03)
[2021-06-03 10:00] #0088 REPLACE INTO company_info VALUES (050120, ES큐브, 2021-06-03)
[2021-06-03 10:00] #0089 REPLACE INTO company_info VALUES (028150, GS홈쇼핑, 2021-06-03)
[2021-06-03 10:00] #0090 REPLACE INTO company_info VALUES (067290, JW신약, 2021-06-03)
[2021-06-03 10:00] #0091 REPLACE INTO company_info VALUES (024120, KB오토시스, 2021-06-03)
[2021-06-03 10:00] #0092 REPLACE INTO company_info VALUES (060720, KH바텍, 2021-06-03)
[2021-06-03 10:00] #0093 REPLACE INTO company_info VALUES (051390, YW, 2021-06-03)
[2021-06-03 10:00] #0094 REPLACE INTO company_info VALUES (217730, 강스템바이오텍, 2021-06-03)
[2021-06-03 10:00] #0095 REPLACE INTO company_info VALUES (024910, 경창산업, 2021-06-03)
[2021-06-03 10:00] #0096 REPLACE INTO company_info VALUES (215000, 골프존, 2021-06-03)
[2021-06-03 10:00] #0097 REPLACE INTO company_info VALUES (331520, 교보9호스팩, 2021-06-03)
[2021-06-03 10:00] #0098 REPLACE INTO company_info VALUES (043650, 국순당, 2021-06-03)
[2021-06-03 10:00] #0099 REPLACE INTO company_info VALUES (078130, 국일제지, 2021-06-03)
[2021-06-03 10:00] #0100 REPLACE INTO company_info VALUES (204020, 그리티, 2021-06-03)
[2021-06-03 10:00] #0101 REPLACE INTO company_info VALUES (286750, 나노브릭, 2021-06-03)
[2021-06-03 10:00] #0102 REPLACE INTO company_info VALUES (151910, 나노스, 2021-06-03)
[2021-06-03 10:00] #0103 REPLACE INTO company_info VALUES (094860, 네오리진, 2021-06-03)
[2021-06-03 10:00] #0104 REPLACE INTO company_info VALUES (095660, 네오위즈, 2021-06-03)
[2021-06-03 10:00] #0105 REPLACE INTO company_info VALUES (085910, 네오티스, 2021-06-03)
[2021-06-03 10:00] #0106 REPLACE INTO company_info VALUES (007390, 네이처셀, 2021-06-03)
[2021-06-03 10:00] #0107 REPLACE INTO company_info VALUES (031390, 녹십자셀, 2021-06-03)
[2021-06-03 10:00] #0108 REPLACE INTO company_info VALUES (054050, 농우바이오, 2021-06-03)
[2021-06-03 10:00] #0109 REPLACE INTO company_info VALUES (012340, 뉴인텍, 2021-06-03)
[2021-06-03 10:00] #0110 REPLACE INTO company_info VALUES (008830, 대동기어, 2021-06-03)
[2021-06-03 10:00] #0111 REPLACE INTO company_info VALUES (078140, 대봉엘에스, 2021-06-03)
[2021-06-03 10:00] #0112 REPLACE INTO company_info VALUES (290380, 대유, 2021-06-03)
[2021-06-03 10:00] #0113 REPLACE INTO company_info VALUES (290120, 대유에이피, 2021-06-03)
[2021-06-03 10:00] #0114 REPLACE INTO company_info VALUES (003310, 대주산업, 2021-06-03)
[2021-06-03 10:00] #0115 REPLACE INTO company_info VALUES (060900, 대한그린파워, 2021-06-03)
[2021-06-03 10:00] #0116 REPLACE INTO company_info VALUES (023910, 대한약품, 2021-06-03)
[2021-06-03 10:00] #0117 REPLACE INTO company_info VALUES (006620, 동구바이오제약, 2021-06-03)
[2021-06-03 10:00] #0118 REPLACE INTO company_info VALUES (196490, 디에이테크놀로지, 2021-06-03)
[2021-06-03 10:00] #0119 REPLACE INTO company_info VALUES (066900, 디에이피, 2021-06-03)
[2021-06-03 10:00] #0120 REPLACE INTO company_info VALUES (092070, 디엔에프, 2021-06-03)
[2021-06-03 10:00] #0121 REPLACE INTO company_info VALUES (033130, 디지틀조선, 2021-06-03)
[2021-06-03 10:00] #0122 REPLACE INTO company_info VALUES (060240, 룽투코리아, 2021-06-03)
[2021-06-03 10:00] #0123 REPLACE INTO company_info VALUES (219420, 링크제니시스, 2021-06-03)
[2021-06-03 10:00] #0124 REPLACE INTO company_info VALUES (086900, 메디톡스, 2021-06-03)
[2021-06-03 10:00] #0125 REPLACE INTO company_info VALUES (080160, 모두투어, 2021-06-03)
[2021-06-03 10:00] #0126 REPLACE INTO company_info VALUES (250060, 모비스, 2021-06-03)
[2021-06-03 10:00] #0127 REPLACE INTO company_info VALUES (118990, 모트렉스, 2021-06-03)
[2021-06-03 10:00] #0128 REPLACE INTO company_info VALUES (328380, 미래에셋대우스팩3호, 2021-06-03)
[2021-06-03 10:00] #0129 REPLACE INTO company_info VALUES (207760, 미스터블루, 2021-06-03)
[2021-06-03 10:00] #0130 REPLACE INTO company_info VALUES (214610, 미코바이오메드, 2021-06-03)
[2021-06-03 10:00] #0131 REPLACE INTO company_info VALUES (206640, 바디텍메드, 2021-06-03)
[2021-06-03 10:00] #0132 REPLACE INTO company_info VALUES (053030, 바이넥스, 2021-06-03)
[2021-06-03 10:00] #0133 REPLACE INTO company_info VALUES (337930, 브랜드엑스코퍼레이션, 2021-06-03)
[2021-06-03 10:00] #0134 REPLACE INTO company_info VALUES (023600, 삼보판지, 2021-06-03)
[2021-06-03 10:00] #0135 REPLACE INTO company_info VALUES (291230, 삼성스팩2호, 2021-06-03)
[2021-06-03 10:00] #0136 REPLACE INTO company_info VALUES (009300, 삼아제약, 2021-06-03)
[2021-06-03 10:00] #0137 REPLACE INTO company_info VALUES (042940, 상지카일룸, 2021-06-03)
[2021-06-03 10:00] #0138 REPLACE INTO company_info VALUES (252990, 샘씨엔에스, 2021-06-03)
[2021-06-03 10:00] #0139 REPLACE INTO company_info VALUES (100660, 서암기계공업, 2021-06-03)
